0000000110110001		0000000110101011		0000000111000111
0000000111111100		0000001111111101		0000000010110001
0000001011001111		0000001011100010		0000000000000000
0000001110101101		0000001110111011		0000001111101101
0000001000001101		0000000000000000		0000001001000101
0000001111000101		0000000010000011		0000001111111111
0000000110101010		0000000100110110		0000000111000110
0000001110110010		0000001111111111		0000000111111101
0000000011011001		0000000010010110		0000000110110110
0000001000110001		0000000011110010		0000000101000111
0000001001011000		0000000001011110		0000000101010010
0000000010010110		0000000110010110		0000000010001111
0000000011110001		0000000010111111		0000000011000110
0000000000000000		0000000110001101		0000001011101011
0000001111111111		0000000101100010		0000001010010010
